id,name,type,image,sound,phonemeSound
uniform,uniform,4,eng/image/uniform.png,eng/audio/uniform.ogg,eng/audio/uniform.ogg
upper arm,upper arm,4,eng/image/upper arm.png,eng/audio/upper arm.ogg,eng/audio/upper arm.ogg
ice,ice,4,eng/image/ice.png,eng/audio/ice.ogg,eng/audio/ice.ogg
industry,industry,4,eng/image/industry.png,eng/audio/industry.ogg,eng/audio/industry.ogg
house sparrow,house sparrow,4,eng/image/house sparrow.png,eng/audio/house sparrow.ogg,eng/audio/house sparrow.ogg
glass,glass,4,eng/image/glass.png,eng/audio/glass.ogg,eng/audio/glass.ogg
husband,husband,4,eng/image/husband.png,eng/audio/husband.ogg,eng/audio/husband.ogg
pound,pound,4,eng/image/pound.png,eng/audio/pound.ogg,eng/audio/pound.ogg
winter,winter,4,eng/image/winter.png,eng/audio/winter.ogg,eng/audio/winter.ogg
freezer,freezer,4,eng/image/freezer.png,eng/audio/freezer.ogg,eng/audio/freezer.ogg
sandals,sandals,4,eng/image/sandals.png,eng/audio/sandals.ogg,eng/audio/sandals.ogg
pancreas,pancreas,4,eng/image/pancreas.png,eng/audio/pancreas.ogg,eng/audio/pancreas.ogg
ant,ant,4,eng/image/ant.png,eng/audio/ant.ogg,eng/audio/ant.ogg
zebra,zebra,4,eng/image/zebra.png,eng/audio/zebra.ogg,eng/audio/zebra.ogg
cherry,cherry,4,eng/image/cherry.png,eng/audio/cherry.ogg,eng/audio/cherry.ogg
key,key,4,eng/image/key.png,eng/audio/key.ogg,eng/audio/key.ogg
ginger,ginger,4,eng/image/ginger.png,eng/audio/ginger.ogg,eng/audio/ginger.ogg
exhausted,exhausted,4,eng/image/exhausted.png,eng/audio/exhausted.ogg,eng/audio/exhausted.ogg
lace,lace,4,eng/image/lace.png,eng/audio/lace.ogg,eng/audio/lace.ogg
yams,yams,4,eng/image/yams.png,eng/audio/yams.ogg,eng/audio/yams.ogg
eagle,eagle,4,eng/image/eagle.png,eng/audio/eagle.ogg,eng/audio/eagle.ogg
university,university,4,eng/image/university.png,eng/audio/university.ogg,eng/audio/university.ogg
table,table,4,eng/image/table.png,eng/audio/table.ogg,eng/audio/table.ogg
